com2;Especie;DigV;DigM;Nv;Nm;Fantin;Mat
17;3;0.40;0.15;0.01;2.5e-03;1.00;0.00
18;3;0.55;0.15;0.01;2.5e-03;0.10;0.00
19;3;1.00;0.15;0.01;2.5e-03;0.00;0.00
20;3;0.40;0.15;0.01;2.5e-03;1.00;0.00
21;3;0.55;0.15;0.01;2.5e-03;0.01;0.00
22;3;0.45;0.15;0.01;2.5e-03;0.01;0.60
23;3;0.50;0.15;0.01;2.5e-03;0.01;0.00
24;3;0.50;0.15;0.01;2.5e-03;0.01;0.00
25;3;0.55;0.15;0.01;2.5e-03;0.25;0.80
26;3;1.00;0.15;0.01;2.5e-03;0.00;0.00
27;3;1.00;0.15;0.01;2.5e-03;0.00;0.00
28;3;0.40;0.15;0.02;2.5e-03;0.20;1.00
29;3;0.55;0.15;0.01;2.5e-03;0.60;0.00
30;3;0.50;0.15;0.01;2.5e-03;0.01;0.00
90;3;0.55;0.15;0.01;2.5e-03;0.50;0.00
1;4;0.55;0.15;0.01;2.5e-03;1.00;0.00
2;4;0.40;0.15;0.01;2.5e-03;0.01;1.00
3;4;0.45;0.15;0.01;2.5e-03;1.00;0.00
4;4;0.50;0.15;0.01;2.5e-03;0.80;0.00
5;4;0.50;0.15;0.01;2.5e-03;0.01;0.30
6;4;0.50;0.15;0.01;2.5e-03;0.01;0.00
7;4;0.70;0.15;0.02;2.5e-03;1.00;0.00
8;4;0.50;0.15;0.01;2.5e-03;0.70;0.80
9;4;0.50;0.15;0.01;2.5e-03;0.70;0.00
10;4;0.50;0.15;0.02;2.5e-03;0.70;0.80
11;4;0.50;0.15;0.02;2.5e-03;0.70;0.80
12;4;0.45;0.15;0.01;2.5e-03;1.00;0.60
13;4;0.50;0.15;0.01;2.5e-03;0.01;0.00
14;4;0.55;0.15;0.01;2.5e-03;1.00;0.00
15;4;0.50;0.15;0.01;2.5e-03;0.20;0.00
16;4;0.65;0.15;0.02;2.5e-03;1.00;0.00
17;4;0.40;0.15;0.01;2.5e-03;1.00;0.00
18;4;0.55;0.15;0.01;2.5e-03;0.10;0.00
19;4;1.00;0.15;0.01;2.5e-03;0.00;0.00
20;4;0.40;0.15;0.01;2.5e-03;1.00;0.00
21;4;0.55;0.15;0.01;2.5e-03;0.01;0.00
22;4;0.45;0.15;0.01;2.5e-03;0.01;0.30
23;4;0.50;0.15;0.01;2.5e-03;0.01;0.00
24;4;0.50;0.15;0.01;2.5e-03;0.01;0.00
25;4;0.55;0.15;0.01;2.5e-03;0.70;0.70
26;4;1.00;0.15;0.01;2.5e-03;0.00;0.00
27;4;1.00;0.15;0.01;2.5e-03;0.00;0.00
28;4;0.40;0.15;0.02;2.5e-03;0.50;1.00
29;4;0.55;0.15;0.01;2.5e-03;0.80;0.00
30;4;0.50;0.15;0.01;2.5e-03;0.01;0.00
90;4;0.55;0.15;0.01;2.5e-03;0.70;0.00
31;1;0.45;0.15;0.01;2.5e-03;0.05;0.50
31;2;0.50;0.15;0.01;2.5e-03;0.10;0.50
31;3;0.50;0.15;0.01;2.5e-03;0.40;0.50
31;4;0.50;0.15;0.01;2.5e-03;0.80;0.30
32;1;0.45;0.15;0.02;2.5e-03;0.00;0.00
32;2;0.50;0.15;0.02;2.5e-03;0.01;0.00
32;3;0.50;0.15;0.02;2.5e-03;0.30;0.00
32;4;0.50;0.15;0.02;2.5e-03;0.60;0.00
33;1;0.40;0.15;0.01;2.5e-03;1.00;0.00
33;2;0.45;0.15;0.01;2.5e-03;1.00;0.00
33;3;0.45;0.15;0.01;2.5e-03;1.00;0.00
33;4;0.45;0.15;0.01;2.5e-03;1.00;0.00
34;1;0.40;0.15;0.01;2.5e-03;1.00;0.00
34;2;0.45;0.15;0.01;2.5e-03;1.00;0.00
34;3;0.45;0.15;0.01;2.5e-03;1.00;0.00
34;4;0.45;0.15;0.01;2.5e-03;1.00;0.00
35;1;0.50;0.15;0.01;2.5e-03;0.01;0.00
35;2;0.50;0.15;0.01;2.5e-03;0.01;0.00
35;3;0.50;0.15;0.01;2.5e-03;0.01;0.00
35;4;0.50;0.15;0.01;2.5e-03;0.01;0.00
36;1;0.65;0.15;0.02;2.5e-03;1.00;0.00
36;2;0.70;0.15;0.02;2.5e-03;1.00;0.00
36;3;0.70;0.15;0.02;2.5e-03;1.00;0.00
36;4;0.70;0.15;0.02;2.5e-03;1.00;0.00
37;1;0.65;0.15;0.02;2.5e-03;1.00;0.00
37;2;0.70;0.15;0.02;2.5e-03;1.00;0.00
37;3;0.70;0.15;0.02;2.5e-03;1.00;0.00
37;4;0.70;0.15;0.02;2.5e-03;1.00;0.00
40;1;0.60;0.15;0.02;2.5e-03;1.00;0.00
41;1;0.35;0.15;0.02;2.5e-03;0.20;1.00
41;2;0.40;0.15;0.02;2.5e-03;0.05;1.00
41;3;0.40;0.15;0.02;2.5e-03;0.20;1.00
41;4;0.40;0.15;0.02;2.5e-03;0.50;1.00
